municipality_number,municipality_name,region_code,region_name,rent_region_code
832,Taivalkoski,17,North Ostrobothnia,MK17
833,Taivassalo,02,Southwest Finland,MK02
834,Tammela,05,Kanta-Häme,MK05
837,Tampere,06,Pirkanmaa,MK06
844,Tervo,11,North Savo,MK11
845,Tervola,19,Lapland,MK19
846,Teuva,14,South Ostrobothnia,MK14
848,Tohmajärvi,12,North Karelia,MK12
849,Toholampi,16,Central Ostrobothnia,MK16
850,Toivakka,13,Central Finland,MK13
851,Tornio,19,Lapland,MK19
853,Turku,02,Southwest Finland,MK02
854,Pello,19,Lapland,MK19
857,Tuusniemi,11,North Savo,MK11
858,Tuusula,01,Uusimaa,MK01
859,Tyrnävä,17,North Ostrobothnia,MK17
886,Ulvila,04,Satakunta,MK04
887,Urjala,06,Pirkanmaa,MK06
889,Utajärvi,17,North Ostrobothnia,MK17
890,Utsjoki,19,Lapland,MK19
892,Uurainen,13,Central Finland,MK13
893,Nykarleby,15,Ostrobothnia,MK15
895,Uusikaupunki,02,Southwest Finland,MK02
905,Vaasa,15,Ostrobothnia,MK15
908,Valkeakoski,06,Pirkanmaa,MK06
915,Varkaus,11,North Savo,MK11
918,Vehmaa,02,Southwest Finland,MK02
921,Vesanto,11,North Savo,MK11
922,Vesilahti,06,Pirkanmaa,MK06
924,Veteli,16,Central Ostrobothnia,MK16
925,Vieremä,11,North Savo,MK11
927,Vihti,01,Uusimaa,MK01
931,Viitasaari,13,Central Finland,MK13
934,Vimpeli,14,South Ostrobothnia,MK14
935,Virolahti,08,Kymenlaakso,MK08
936,Virrat,06,Pirkanmaa,MK06
941,Vårdö,21,Åland,
946,Vörå,15,Ostrobothnia,MK15
976,Ylitornio,19,Lapland,MK19
977,Ylivieska,17,North Ostrobothnia,MK17
980,Ylöjärvi,06,Pirkanmaa,MK06
981,Ypäjä,05,Kanta-Häme,MK05
989,Ähtäri,14,South Ostrobothnia,MK14
992,Äänekoski,13,Central Finland,MK13
